V1,V2,rural
4509,花蓮縣瑞穗鄉,1
4510,花蓮縣富里鄉,1
4511,花蓮縣秀林鄉,1
4512,花蓮縣萬榮鄉,1
4513,花蓮縣卓溪鄉,1
4600,台東縣,0
4601,台東縣台東市,0
4602,台東縣成功鎮,1
4603,台東縣關山鎮,1
4604,台東縣卑南鄉,1
4605,台東縣大武鄉,1
4606,台東縣太麻里,1
4607,台東縣東河鄉,1
4608,台東縣長濱鄉,1
4609,台東縣鹿野鄉,1
4610,台東縣池上鄉,1
4611,台東縣綠島鄉,1
4612,台東縣延平鄉,1
4613,台東縣海端鄉,1
4614,台東縣達仁鄉,1
4615,台東縣金峰鄉,1
4616,台東縣蘭嶼鄉,1
9000,金門縣,0
9001,金門縣金城鎮,1
9002,金門縣金沙鎮,1
9003,金門縣金湖鎮,1
9004,金門縣金寧鎮,1
9005,金門縣烈嶼鄉,1
9006,金門縣烏坵鄉,1
9100,連江縣,0
9101,連江縣南竿鄉,1
9102,連江縣北竿鄉,1
9103,連江縣莒光鄉,1
9104,連江縣東引鄉,1
